,0,1,2,3,4,5,6,7,8,9
0,0.7749,0.6795,0.6978,0.7715,0.6462,0.7262,0.6998,0.7499,0.7551,0.7309
1,0.7628,0.6486,0.6396,0.7539,0.6233,0.6682,0.6989,0.6935,0.7143,0.7026
2,0.7476,0.6254,0.6207,0.7173,0.613,0.64,0.6877,0.6663,0.6732,0.6591
3,0.6967,0.617,0.589,0.6484,0.6074,0.6336,0.6874,0.6376,0.6494,0.6544
4,0.6674,0.6153,0.5781,0.648,0.6057,0.6305,0.675,0.6045,0.6456,0.6531
5,0.6501,0.6137,0.5688,0.6461,0.59,0.6271,0.6719,0.6033,0.6347,0.6514
6,0.646,0.6008,0.5672,0.6346,0.5663,0.622,0.6677,0.5978,0.634,0.6477
7,0.6346,0.6002,0.5655,0.6286,0.5654,0.6118,0.6385,0.5847,0.6191,0.6378
8,0.6177,0.5808,0.5607,0.6228,0.5587,0.59,0.638,0.5826,0.6054,0.631
9,0.6036,0.5796,0.5601,0.6226,0.5567,0.5861,0.6364,0.5823,0.5932,0.6237
